DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Colombia,Cartagena de Indias,PMI,Menthol Caps,Full Flavor,STD,KS,2,9399200,0.2
Nicaragua,Managua,PMI,Regular,Full Flavor,STD,KS,11,151052400,48.6
Spain,Almeria,PMI,Regular,Full Flavor,STD,KS,6,50955400,0.4
Switzerland,Basel,PMI,Regular,Full Flavor,STD,KS,9,41099240,1.9
Cape Verde,Espargos,PMI,Regular,Full Flavor,STD,KS,8,1982761800,33.8
Switzerland,Basel,PMI,Regular,Full Flavor,SLI,KS,8,390483200,18.4
Egypt,Alexandria,PMI,Regular,Full Flavor,STD,KS,24,361724992,1.1
Mexico,Cancun,PMI,Regular,Full Flavor,STD,KS,12,4230672400,26.4
South Korea,Cheongju,PMI,NTD Caps,Full Flavor,STD,KS,5,20075800,0.1
Sri Lanka,Colombo,PMI,NTD Caps,Full Flavor,STD,KS,5,276692057,27.1
Malaysia,Kuala Lumpur,PMI,Menthol,Full Flavor,STD,KS,2,63143600,6.2
Jordan,Aqaba,PMI,Regular,Full Flavor,STD,KS,16,12294200,0.2
France,Grenoble,PMI,Regular,Full Flavor,SLI,KS,2,9350400,0.1
Turkey,Cukurova Airport,PMI,Regular,Full Flavor,STD,KS,45,417941200,0.3
China,Wuxi Shuofang,PMI,NTD Caps,Full Flavor,STD,KS,2,15099400,0.2
Morocco,Ouarzazate,PMI,NTD Caps,Full Flavor,STD,KS,1,546000,0
India,Hyderabad,PMI,NTD Caps,Full Flavor,STD,KS,5,65271960,1.4
Spain,Santiago De Compostela,PMI,Regular,Full Flavor,SLI,KS,2,27134800,0.2
Dominican Republic,Punta Cana - Higuey,PMI,NTD Caps,Full Flavor,STD,KS,3,615575600,6.3
China,Changchun Longjia,PMI,Regular,Full Flavor,STD,KS,2,8831400,0.1
Russia,Sochi,PMI,Regular,Full Flavor,STD,KS,8,24739000,4.4
Morocco,Tangier,PMI,Regular,Full Flavor,STD,KS,16,1683635800,6.5
Greece,Chania,PMI,Regular,Full Flavor,SLI,KS,6,36855400,2.9
Italy,Venice,PMI,Regular,Full Flavor,STD,KS,13,278482600,6.3
China,Jinan Xiaoqiang,PMI,Menthol Caps,Full Flavor,STD,KS,2,10880080,0.1
Spain,Reus,PMI,Regular,Full Flavor,STD,KS,5,143305000,1.2
Japan,Oita,PMI,Regular,Full Flavor,STD,KS,1,1504800,0
Jordan,Amman,PMI,Regular,Full Flavor,SLI,KS,9,3913310000,50.6
Uzbekistan,Tashkent,PMI,Regular,Full Flavor,STD,KS,11,667044220,100
China,Yanji Zhaoyangchuan,PMI,Menthol Caps,Full Flavor,STD,KS,2,6302400,0.1
Morocco,Casablanca,PMI,Menthol,Full Flavor,STD,KS,1,66238800,0.3
South Korea,Muan,PMI,Regular,Full Flavor,STD,KS,5,2646600,0
Mexico,Monterrey,PMI,Menthol,Full Flavor,STD,KS,1,8131200,0.1
Taiwan,Kaohsiung,PMI,Menthol,Full Flavor,STD,KS,3,4965644,0.4
Egypt,Cairo,PMI,Menthol Caps,Full Flavor,STD,KS,2,265943604,0.8
South Korea,Busan - Kimhae,PMI,Regular,Full Flavor,STD,KS,10,488852200,3
Saint Marteen (NL),St. Maarten Princess Juliana,PMI,NTD Caps,Full Flavor,STD,KS,3,47066612,7
Hong Kong,Hong Kong,PMI,Regular,Full Flavor,STD,KS,6,650393040,69.3
China,Beijing,PMI,Menthol Caps,Full Flavor,STD,KS,3,66146400,0.8
Togo,Togo,PMI,NTD Caps,Full Flavor,STD,KS,2,14798366,1.5
Spain,Santander,PMI,Regular,Full Flavor,STD,KS,3,37625200,0.3
Oman,Muscat,PMI,NTD Caps,Full Flavor,STD,KS,7,563657600,14.6
Colombia,Bogota,PMI,Regular,Full Flavor,STD,KS,17,1176589320,27.8
India,Hyderabad,PMI,Regular,Full Flavor,STD,KS,14,251159584,5.3
South Sudan,Juba,PMI,Regular,Full Flavor,STD,KS,7,279510400,100
Brazil,Rio de Janeiro,PMI,Menthol,Full Flavor,STD,KS,1,28371200,0.5
Saudi Arabia,Jeddah,PMI,Regular,Full Flavor,SLI,KS,9,623479600,15.2
Colombia,Bogota,PMI,NTD Caps,Full Flavor,STD,KS,4,209501000,4.9
China,Nanning Wuxu,PMI,Regular,Full Flavor,STD,KS,8,4106600,0.1
Bulgaria,Varna,PMI,Regular,Full Flavor,STD,KS,3,4375400,3.7
Belize,Belize City,PMI,Regular,Full Flavor,STD,KS,13,226736271,57
Vietnam,Phu Quok,PMI,NTD Caps,Full Flavor,STD,KS,5,5752600,0.5
Mayotte,Pamandzi,PMI,Regular,Lights,STD,KS,1,21757531,2.1
South Africa,Johannesburg,PMI,NTD Caps,Full Flavor,STD,KS,1,12465387,3.3
Morocco,Fes,PMI,Regular,Full Flavor,STD,KS,15,1942823800,7.5
Poland,Wroclaw,PMI,Regular,Full Flavor,SLI,KS,2,68300800,0.6
Spain,Bilbao,PMI,Regular,Full Flavor,STD,KS,5,98313600,0.8
Italy,Bologna,PMI,Regular,Full Flavor,SLI,KS,3,27524800,0.6
Panama,Panama Tocumen,PMI,Menthol Caps,Full Flavor,STD,KS,2,40350400,2.7
Turkey,Trabzon Airport,PMI,Regular,Full Flavor,SSL,KS,1,2598400,0
Egypt,Sharm El Sheikh,PMI,Menthol Caps,Full Flavor,STD,KS,2,23300816,0.1
Egypt,Alexandria,PMI,Regular,Full Flavor,SLI,KS,7,247820387,0.7
Mexico,Cozumel,PMI,Regular,Full Flavor,SLI,KS,3,26994600,0.2
Bosnia-Herzegovinia,Tuzla,PMI,Regular,Full Flavor,SLI,KS,1,7833000,0.7
Spain,Gerona,PMI,Regular,Full Flavor,STD,KS,8,126356600,1.1
Taiwan,Everrich Downtown Kinmen,PMI,Menthol Caps,Full Flavor,STD,KS,2,5899500,0.4
Greece,Ioannina,PMI,Regular,Full Flavor,STD,KS,3,173800,0
South Korea,Muan,PMI,NTD Caps,Full Flavor,STD,KS,2,320200,0
Hong Kong,Hong Kong,PMI,NTD Caps,Full Flavor,STD,KS,4,81731300,8.7
Norway,Trondheim,PMI,NTD Caps,Full Flavor,STD,KS,2,1032700,0.2
Sweden,Umea,PMI,Regular,Full Flavor,STD,KS,4,416200,0.2
Great Britain,Glasgow,PMI,Regular,Full Flavor,SLI,KS,2,40532400,0.8
Germany,Hamburg,PMI,Regular,Full Flavor,SLI,KS,3,97038800,3.1
Great Britain,East Midlands,PMI,Regular,Full Flavor,STD,KS,4,38612200,0.7
Taiwan,Taipei - Taoyuan,PMI,NTD Caps,Full Flavor,STD,KS,2,26022600,2
Saudi Arabia,DAMMAM,PMI,Regular,Full Flavor,STD,KS,6,282176800,6.9
Japan,Miyazaki,PMI,Regular,Full Flavor,STD,KS,2,1854600,0
Morocco,Fes,PMI,Menthol Caps,Full Flavor,STD,KS,3,9852800,0
Turkey,Diyarbakir Airport,PMI,Regular,Full Flavor,SSL,KS,3,6162600,0
Turkey,Diyarbakir Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,6406800,0
Brazil,Belo Horizonte,PMI,NTD Caps,Full Flavor,SSL,KS,1,337600,0
Japan,Tokyo - Haneda,PMI,Menthol Caps,Full Flavor,STD,KS,4,270271200,2
China,Hebei,PMI,Menthol Caps,Full Flavor,STD,KS,3,7685200,0.1
Mauritius,Port Louis,PMI,Regular,Full Flavor,STD,KS,5,210976632,96.3
Nicaragua,Managua,PMI,Regular,Full Flavor,SLI,KS,3,119759200,38.5
South Korea,Seoul (downtown),PMI,Regular,Full Flavor,SSL,KS,1,11200,0
China,Taiyuan Wusu,PMI,Regular,Full Flavor,STD,KS,2,29254200,0.4
China,Dalian Zhoushuizi,PMI,NTD Caps,Full Flavor,STD,KS,4,6412400,0.1
Norway,Bergen,PMI,Menthol Caps,Full Flavor,STD,KS,2,9227400,1.6
Norway,Trondheim,PMI,Regular,Full Flavor,SLI,KS,1,4377600,0.7
Grenada,St. George's Point Saline,PMI,Menthol Caps,Full Flavor,STD,KS,2,2034000,3.6
South Korea,Cheongju,PMI,Regular,Full Flavor,SSL,KS,1,1478400,0
Belgium,Brussels,PMI,Regular,Full Flavor,STD,KS,3,144953000,89.7
Mexico,Ixtapa Zihuatanejo,PMI,NTD Caps,Full Flavor,STD,KS,2,1990800,0
South Korea,Seoul,PMI,Regular,Full Flavor,SSL,KS,1,1523200,0
South Korea,Seoul,PMI,Regular,1mg,SSL,KS,1,1113000,0
Spain,Mahon Airport,PMI,Regular,Full Flavor,SLI,KS,1,24600600,0.2
South Korea,Cheongju,PMI,Menthol Caps,Full Flavor,STD,KS,3,13526000,0.1
Saudi Arabia,DAMMAM,PMI,NTD Caps,Full Flavor,STD,KS,1,2360600,0.1
India,Indira Gandhi,PMI,Regular,Full Flavor,STD,KS,17,901225875,19.2
China,Changsha Huanghua,PMI,Regular,Full Flavor,STD,KS,5,61576420,0.8
Turkey,Ankara Airport,PMI,Regular,Full Flavor,STD,KS,47,4921508800,3
Suriname,Paramaribo,PMI,NTD Caps,Full Flavor,STD,KS,4,216871764,24.6
Tunisia,Tozeur,PMI,Regular,Full Flavor,STD,KS,8,49438000,0.2
Dominican Republic,Punta Cana - Higuey,PMI,Regular,Full Flavor,STD,KS,19,3512288400,35.9
Egypt,Aswan,PMI,NTD Caps,Full Flavor,STD,KS,6,30733800,0.1
Morocco,Marrakech,PMI,Menthol,Full Flavor,STD,KS,1,304874200,1.2
Poland,Lublin,PMI,Regular,Full Flavor,STD,KS,10,386391740,3.3
South Korea,Seoul,PMI,Menthol Caps,Full Flavor,STD,KS,4,93382600,0.6
China,Xian Xianyang,PMI,NTD Caps,Full Flavor,STD,KS,9,36217951,0.5
France,Toulouse,PMI,Regular,Full Flavor,STD,KS,10,205320800,1.7
Vietnam,Haiphong,PMI,Regular,Full Flavor,STD,KS,4,9144000,0.9
China,Nanjing Lukou,PMI,Regular,Full Flavor,STD,KS,4,62853575,0.8
Norway,Sandefjord-Torp,PMI,NTD Caps,Full Flavor,STD,KS,2,2573058,0.4
Egypt,Asyut,PMI,Regular,Full Flavor,SLI,KS,7,72377700,0.2
South Korea,Busan - Kimhae (downtown),PMI,NTD Caps,Full Flavor,STD,KS,5,80310000,0.5
Peru,Lima,PMI,Regular,Full Flavor,STD,KS,13,1186414400,49.5
Turkey,Cukurova Airport,PMI,Menthol Caps,Full Flavor,STD,KS,5,6071600,0
Greece,Kavala,PMI,Regular,Full Flavor,STD,KS,3,3750800,0.3
Vietnam,Cam Ranh,PMI,NTD Caps,Full Flavor,STD,KS,5,27557800,2.6
Myanmar,Mandalay,PMI,Menthol,Full Flavor,STD,KS,1,366000,1.2
South Korea,Seoul (downtown),PMI,Regular,Full Flavor,STD,KS,10,138715000,0.8
Spain,Mahon Airport,PMI,Regular,Full Flavor,STD,KS,8,210782400,1.8
Belize,Belize City,PMI,NTD Caps,Full Flavor,STD,KS,3,23827576,6
Italy,Palermo,PMI,Regular,Full Flavor,SLI,KS,1,16177200,0.4
Grenada,St. George's Point Saline,PMI,Regular,Full Flavor,STD,KS,9,35692400,62.7
Norway,Sandefjord-Torp,PMI,Regular,Full Flavor,STD,KS,16,55288449,9.3
Brazil,Natal,PMI,Menthol Caps,Full Flavor,STD,KS,2,728400,0
Egypt,Cairo,PMI,Regular,Full Flavor,SLI,KS,7,8714996046,25.7
Panama,Panama Tocumen,PMI,Regular,Full Flavor,STD,KS,19,738340400,50.1
Denmark,Copenhagen,PMI,Regular,Full Flavor,SLI,KS,2,15978400,16.5
United Arab Emirates,Sharjah,PMI,Regular,Full Flavor,SLI,KS,8,691163200,2
Dominican Republic,Santiago Cibao,PMI,Menthol Caps,Full Flavor,STD,KS,3,4327000,0
Japan,Fukuoka,PMI,Regular,Full Flavor,STD,KS,11,386581400,2.8
United Arab Emirates,Sharjah,PMI,NTD Caps,Full Flavor,STD,KS,10,264967800,0.8
Brazil,Fortaleza,PMI,Menthol,Full Flavor,STD,KS,1,7216000,0.1
Morocco,Nador,PMI,Regular,Full Flavor,STD,KS,14,509580400,2
Great Britain,East Midlands,PMI,Regular,Full Flavor,SLI,KS,2,22040000,0.4
Morocco,Rabat,PMI,NTD Caps,Full Flavor,STD,KS,9,81170800,0.3
South Korea,Jeju (downtown),PMI,Menthol,Full Flavor,STD,KS,1,8470000,0.1
Saudi Arabia,Jeddah,PMI,Menthol Caps,Full Flavor,STD,KS,1,317000,0
India,Cochin,PMI,Regular,Full Flavor,STD,KS,8,86501028,1.8
Namibia,Windhoek,PMI,Regular,Full Flavor,SLI,KS,3,4890800,1.7
India,Sardar Vallabh Bhai Patel,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Great Britain,Glasgow,PMI,Regular,Full Flavor,STD,KS,4,61093200,1.2
Egypt,Luxor,PMI,NTD Caps,Full Flavor,STD,KS,6,16786000,0
Colombia,Medellin Jose Maria Cordova,PMI,NTD Caps,Full Flavor,STD,KS,4,58901356,1.4
China,Chengdu Tianfu,PMI,Regular,Full Flavor,STD,KS,5,185055700,2.3
Georgia,Batumi,PMI,Regular,Full Flavor,SLI,KS,3,12360200,4.6
China,Hefei Xinqiao,PMI,Menthol,Full Flavor,STD,KS,2,3807200,0
Malaysia,Kuala Lumpur,PMI,Regular,Full Flavor,STD,KS,4,561490400,55.5
China,Yantai Penglai,PMI,Menthol,Full Flavor,STD,KS,1,972000,0
Japan,Osaka - Kansai,PMI,NTD Caps,Full Flavor,STD,KS,8,1233569000,9
China,Zhengzhou Xinzheng,PMI,Regular,Full Flavor,STD,KS,5,2631400,0
Bosnia-Herzegovinia,Banja Luka,PMI,Regular,Full Flavor,STD,KS,4,32988580,3
Brazil,Recife,PMI,Regular,Full Flavor,STD,KS,12,43316800,0.7
India,Amritsar,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Iraq,Suleymania Airport,PMI,NTD Caps,Full Flavor,STD,KS,5,75930000,2.1
Lebanon,Beirut - Rafik Hariri,PMI,,,,,1,123000,0
Burundi,Bujumbura,PMI,NTD Caps,Full Flavor,STD,KS,1,1812800,7.4
Iraq,Basrah,PMI,NTD Caps,Full Flavor,STD,KS,5,149800000,4.1
Nigeria,Lagos,PMI,NTD Caps,Full Flavor,STD,KS,1,792000,0.5
China,Pengsheng,PMI,NTD Caps,Full Flavor,STD,KS,5,12763600,0.2
China,Shanghai Pudong,PMI,Menthol,Full Flavor,STD,KS,2,20194716,0.3
Brazil,Belo Horizonte,PMI,Menthol Caps,Full Flavor,STD,KS,2,2043000,0
Japan,Tokyo - Haneda,PMI,Menthol,Full Flavor,STD,KS,5,450489200,3.3
Morocco,Nador,PMI,Menthol,Full Flavor,STD,KS,1,10466800,0
Martinique,Fort-de-France,PMI,Regular,Lights,STD,KS,1,20766600,2.7
Denmark,Billund,PMI,Regular,Full Flavor,SLI,KS,2,4458198,4.6
Poland,Radom,PMI,Regular,Full Flavor,SLI,KS,1,86800,0
Mexico,Mexico City,PMI,Menthol Caps,Full Flavor,STD,KS,3,63715800,0.4
Malaysia,Penang,PMI,NTD Caps,Full Flavor,STD,KS,1,2415600,0.2
Germany,Berlin Brandenburg,PMI,Regular,Full Flavor,SLI,KS,3,165588400,5.3
China,Yinchuan Hedong,PMI,NTD Caps,Full Flavor,STD,KS,3,2174800,0
Spain,Santander,PMI,Regular,Full Flavor,SLI,KS,1,14428200,0.1
South Africa,Durban,PMI,Menthol Caps,Full Flavor,STD,KS,1,1080400,0.3
Caribbean Other,Port-au-Prince (Haiti),PMI,Menthol Caps,Full Flavor,STD,KS,1,1820000,0.3
Japan,Tokyo - Shinjuku,PMI,Menthol,Full Flavor,STD,KS,4,48863400,0.4
Taiwan,Kaohsiung,PMI,NTD Caps,Full Flavor,STD,KS,2,2253024,0.2
China,Mudanjiang Hailang,PMI,Regular,Full Flavor,STD,KS,1,174000,0
Tanzania,Zanzibar,PMI,Menthol Caps,Full Flavor,STD,KS,1,12580000,1.3
Tunisia,Monastir,PMI,Menthol,Full Flavor,STD,KS,1,6608600,0
China,Wenzhou Longwan,PMI,Menthol,Full Flavor,STD,KS,2,2010000,0
Togo,Togo,PMI,Menthol,Full Flavor,STD,KS,1,476736,0
Cambodia,Sihanoukville,PMI,Regular,Full Flavor,STD,KS,2,296000,0.4
Colombia,Cali,PMI,Menthol,Full Flavor,STD,KS,3,21857939,0.5
El Salvador,San Salvador Comalapa,PMI,Menthol Caps,Full Flavor,STD,KS,2,29810400,2.3
China,Hebei,PMI,NTD Caps,Full Flavor,STD,KS,1,5350000,0.1
Chile,Santiago Arturo Merino Benitez,PMI,Menthol Caps,Full Flavor,STD,KS,2,111156600,4.5
Nicaragua,Managua,PMI,Menthol,Full Flavor,STD,KS,1,8025600,2.6
Mexico,La Paz Manuel Marquez de Leon,PMI,Menthol Caps,Full Flavor,STD,KS,1,2135000,0
Japan,Takamatsu,PMI,Menthol,Full Flavor,STD,KS,2,2179200,0
India,Mangalore,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Russia,Sochi,PMI,Menthol Caps,Full Flavor,STD,KS,1,3927400,0.7
Tanzania,Kilimanjaro,PMI,NTD Caps,Full Flavor,STD,KS,1,7663200,0.8
Zambia,Lusaka,PMI,Menthol Caps,Full Flavor,STD,KS,1,1110000,3.3
China,Harbin Taiping,PMI,Regular,Full Flavor,STD,KS,1,476190,0
Turkey,Diyarbakir Airport,PMI,Regular,Lights,STD,KS,1,118400,0
Oman,Muscat,PMI,Regular,Full Flavor,STD,KS,23,2137653200,55.5
Morocco,Agadir,PMI,Menthol Caps,Full Flavor,STD,KS,3,117140400,0.5
Italy,Bari,PMI,Regular,Full Flavor,STD,KS,7,43592200,1
South Korea,Incheon,PMI,Regular,1mg,SSL,KS,1,35552400,0.2
Germany,Frankfurt,PMI,Regular,Full Flavor,STD,KS,9,516367600,16.4
Russia,Moscow - Vnukovo,PMI,Regular,Full Flavor,STD,KS,9,98297400,17.5
South Africa,Durban,PMI,Regular,Full Flavor,STD,KS,5,1959400,0.5
Japan,Chitose,PMI,NTD Caps,Full Flavor,STD,KS,8,62787800,0.5
Greece,Thessaloniki,PMI,Regular,Full Flavor,STD,KS,16,31721600,2.5
Caribbean Other,Kralendijk (Bonaire),PMI,NTD Caps,Full Flavor,STD,KS,1,47231296,7.8
Greece,Alexandoupolis,PMI,Regular,Full Flavor,SLI,KS,5,9007800,0.7
Brazil,Brasilia,PMI,Menthol Caps,Full Flavor,STD,KS,2,2040800,0
Caribbean Other,Antigua,PMI,Regular,Full Flavor,STD,KS,6,68544431,11.3
Morocco,Agadir,PMI,Regular,Full Flavor,STD,KS,16,3512507800,13.6
Jamaica,Montego Bay,PMI,Menthol,Full Flavor,STD,KS,2,68859000,4.3
China,Urumchi Diwobao,PMI,Regular,Full Flavor,STD,KS,5,180510800,2.3
India,Goa,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Tanzania,Zanzibar,PMI,Regular,Full Flavor,STD,KS,8,598092800,64.1
Kazakhstan,Astana,PMI,Regular,Full Flavor,STD,KS,9,44453200,26.2
China,Changsha Huanghua,PMI,NTD Caps,Full Flavor,STD,KS,5,20940400,0.3
China,Dalian Zhoushuizi,PMI,Regular,Full Flavor,STD,KS,5,44695780,0.6
United Arab Emirates,Dubai,PMI,Regular,Full Flavor,STD,KS,22,16206340000,47.6
Switzerland,Zurich,PMI,Regular,Full Flavor,SLI,KS,8,603589200,28.4
Zambia,Lusaka,PMI,Regular,Full Flavor,STD,KS,5,13451200,40.5
Turkey,Istanbul Asia Airport,PMI,Regular,Full Flavor,SLI,KS,9,9228103800,5.6
Austria,Graz,PMI,Regular,Full Flavor,SLI,KS,2,519800,0.7
Canary Islands,Gran Canaria,PMI,Regular,Full Flavor,STD,KS,5,226704000,12.3
South Korea,Seoul (downtown),PMI,NTD Caps,Full Flavor,STD,KS,5,219169600,1.3
Italy,Naples,PMI,Regular,Full Flavor,STD,KS,13,342661800,7.7
China,Shanghai Hongqiao,PMI,NTD Caps,Full Flavor,STD,KS,5,12415116,0.2
South Korea,Incheon,PMI,Menthol Caps,Full Flavor,STD,KS,4,1091475400,6.6
New Zealand,Queenstown,PMI,Regular,Full Flavor,STD,KS,1,125000,1.1
Turkey,Kutahya Airport,PMI,NTD Caps,Full Flavor,STD,KS,7,5913600,0
Japan,Takamatsu,PMI,NTD Caps,Full Flavor,STD,KS,1,835200,0
China,Chongqing Jiangbei,PMI,Menthol Caps,Full Flavor,STD,KS,5,22860400,0.3
Poland,Szczecin,PMI,Regular,Full Flavor,SLI,KS,2,25669400,0.2
Ireland,Dublin,PMI,Regular,Full Flavor,SLI,KS,1,79898400,33.2
Italy,Florence,PMI,Regular,Full Flavor,SLI,KS,3,9955200,0.2
Spain,Asturias,PMI,Regular,Full Flavor,SLI,KS,1,6055000,0.1
Netherlands,Amsterdam - Schiphol,PMI,Regular,Full Flavor,SLI,KS,6,411675600,85.9
Saudi Arabia,Medina,PMI,Regular,Full Flavor,SLI,KS,8,139835600,3.4
Greece,Aktio,PMI,Regular,Full Flavor,STD,KS,4,15740800,1.2
Brazil,Porto Alegre,PMI,Menthol Caps,Full Flavor,STD,KS,2,660600,0
Russia,Makhachkala,PMI,Regular,Full Flavor,STD,KS,6,8680600,1.5
Italy,Rome Fiumicino,PMI,Regular,Full Flavor,STD,KS,13,1140519000,25.8
Ireland,Shannon,PMI,Regular,Full Flavor,SLI,KS,2,20767062,8.6
Lithuania,Kaunas,PMI,Regular,Full Flavor,SLI,KS,1,2494000,1.2
Guatemala,Guatemala City,PMI,Regular,Full Flavor,STD,KS,8,262742800,30.9
Colombia,Bogota,PMI,Regular,Full Flavor,SLI,KS,3,1354349080,32
South Korea,Daegu,PMI,Regular,1mg,SSL,KS,1,7939400,0
Italy,Treviso,PMI,Regular,Full Flavor,STD,KS,7,15468800,0.3
Brazil,Salvador,PMI,Regular,Full Flavor,STD,KS,9,67960800,1.1
Macau,Macau,PMI,Menthol,Full Flavor,STD,KS,2,5647000,15.4
Spain,Jerez De La Frontera,PMI,Regular,Full Flavor,STD,KS,6,14499400,0.1
China,Kunming Wujiaba,PMI,Menthol Caps,Full Flavor,STD,KS,3,53620600,0.7
Ireland,Cork,PMI,Regular,Full Flavor,SLI,KS,1,9064800,3.8
Egypt,Asyut,PMI,,,,,1,54050,0
Indonesia,Ngurah Rai,PMI,Regular,Full Flavor,STD,KS,5,82333000,51.6
China,Wuhan Tianhe,PMI,Regular,Full Flavor,STD,KS,5,21657900,0.3
Great Britain,Liverpool,PMI,Regular,Full Flavor,STD,KS,4,70936600,1.4
Caribbean Other,Kralendijk (Bonaire),PMI,Regular,Full Flavor,STD,KS,4,139236756,22.9
Belgium,Charleroi,PMI,Regular,Full Flavor,STD,KS,3,16618400,10.3
Japan,Sendai,PMI,Menthol Caps,Full Flavor,STD,KS,2,2054000,0
Vietnam,Ho Chi Minh,PMI,Menthol Caps,Full Flavor,STD,KS,3,68724200,6.4
Taiwan,Taipei - Taoyuan,PMI,Menthol Caps,Full Flavor,SLI,KS,1,96263020,7.2
India,Lucknow,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Canary Islands,Lanzarote,PMI,Regular,Full Flavor,STD,KS,5,110469200,6
Poland,Krakow Balice,PMI,Regular,Full Flavor,SLI,KS,2,232444280,2
Japan,Aomori,PMI,Regular,Full Flavor,STD,KS,3,1565600,0
India,Indira Gandhi,PMI,NTD Caps,Full Flavor,STD,KS,5,454006243,9.7
Caribbean Other,Kralendijk (Bonaire),PMI,Menthol Caps,Full Flavor,STD,KS,1,2911650,0.5
India,Cochin,PMI,Regular,Full Flavor,SLI,KS,5,57277038,1.2
Ecuador,Quito,PMI,Regular,Full Flavor,STD,KS,11,286735200,14.5
Bosnia-Herzegovinia,Banja Luka,PMI,NTD Caps,Full Flavor,STD,KS,1,18784640,1.7
Lebanon,Beirut - Rafik Hariri,PMI,Menthol Caps,Full Flavor,STD,KS,2,3561200,0.1
Great Britain,Humberside,PMI,Regular,Full Flavor,STD,KS,3,2127000,0
Ecuador,Quito,PMI,NTD Caps,Full Flavor,STD,KS,2,73783200,3.7
Vietnam,Danang,PMI,NTD Caps,Full Flavor,STD,KS,5,15611000,1.5
Egypt,Luxor,PMI,Menthol Caps,Full Flavor,STD,KS,2,3159200,0
Brazil,Viracopos,PMI,NTD Caps,Full Flavor,STD,KS,1,7879200,0.1
Brazil,Recife,PMI,Menthol,Full Flavor,STD,KS,1,1619200,0
Japan,Naha,PMI,NTD Caps,Full Flavor,STD,KS,6,54688600,0.4
Great Britain,Southampton,PMI,Regular,Full Flavor,SLI,KS,2,13967800,0.3
Russia,Astrakhan,PMI,Menthol Caps,Full Flavor,STD,KS,1,686200,0.1
Turkey,Dalaman Airport,PMI,Regular,Full Flavor,SLI,KS,6,137888800,0.1
Vietnam,Danang Downtown Shop,PMI,Menthol,Full Flavor,STD,KS,1,195200,0
Denmark,Aarhus,PMI,Regular,Full Flavor,SLI,KS,2,511053,0.5
France,Paris Charles De Gaulle,PMI,Regular,Lights,STD,KS,2,157125200,1.3
Spain,A Coruna,PMI,Regular,Full Flavor,SLI,KS,1,7646600,0.1
Morocco,Marrakech,PMI,Regular,Full Flavor,SLI,KS,1,89817000,0.3
Brazil,Brasilia,PMI,NTD Caps,Full Flavor,SSL,KS,1,717400,0
Ethiopia,Addis Ababa,PMI,Menthol,Full Flavor,STD,KS,1,25746800,0.4
Malaysia,Kuala Lumpur,PMI,Menthol Caps,Full Flavor,STD,KS,2,195444800,19.3
Australia,Adelaide,PMI,NTD Caps,Full Flavor,STD,KS,1,6300,0
United Arab Emirates,Dubai,PMI,Regular,Ultralights,STD,KS,1,94926600,0.3
South Korea,Busan - Kimhae,PMI,Regular,Lights,SLI,KS,1,140774000,0.9
Sweden,Orebro,PMI,Regular,Full Flavor,STD,KS,1,1380000,0.6
Cape Verde,Praia,PMI,Menthol,Full Flavor,STD,KS,1,7296200,0.1
South Korea,Jeju (downtown),PMI,Regular,1mg,SSL,KS,1,2035200,0
China,Changsha Huanghua,PMI,Menthol,Full Flavor,STD,KS,2,7756800,0.1
Mexico,Ixtapa Zihuatanejo,PMI,Menthol,Full Flavor,STD,KS,1,492800,0
Croatia,Split,PMI,Regular,Full Flavor,SLI,KS,1,2940000,8.2
Australia,Cairns,PMI,Menthol Caps,Full Flavor,STD,KS,1,87264,0.3
Spain,Madrid Barajas,PMI,Regular,Full Flavor,STD,KS,8,1450311000,12.3
Dominican Republic,Punta Cana - Higuey,PMI,Menthol Caps,Full Flavor,STD,KS,2,99430400,1
Malaysia,Kuala Lumpur,PMI,NTD Caps,Full Flavor,STD,KS,1,54467600,5.4
Turkey,Antalya Gazipasa Airport,PMI,Regular,Full Flavor,STD,KS,35,288447600,0.2
Italy,Bologna,PMI,Regular,Full Flavor,STD,KS,7,100979800,2.3
Brazil,Viracopos,PMI,Menthol Caps,Full Flavor,STD,KS,2,4554200,0.1
Germany,Stuttgart,PMI,Regular,Full Flavor,SLI,KS,3,68535400,2.2
Oman,Muscat,PMI,Menthol Caps,Full Flavor,STD,KS,2,49798000,1.3
South Korea,Seoul,PMI,Regular,Full Flavor,STD,KS,11,283670800,1.7
Russia,Moscow - Domodedovo,PMI,Regular,Full Flavor,STD,KS,12,31037800,5.5
Myanmar,Mandalay,PMI,Regular,Full Flavor,STD,KS,2,7654000,24.5
Germany,Nuernberg,PMI,Regular,Full Flavor,SLI,KS,5,7671053,0.2
Togo,Togo,PMI,Regular,Full Flavor,SLI,KS,5,260201945,26.1
Turkey,Gaziantep Airport,PMI,Menthol Caps,Full Flavor,STD,KS,8,16544800,0
Iraq,Suleymania Airport,PMI,Regular,Full Flavor,SLI,KS,4,65500000,1.8
